Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:42.068597,433.5,-89
2025-11-23T16:15:42.073657,433.6,-90
2025-11-23T16:15:42.079439,433.7,-90
2025-11-23T16:15:42.083674,433.8,-89
2025-11-23T16:15:42.088699,433.9,-86
2025-11-23T16:15:42.093676,434.0,-89
2025-11-23T16:15:42.098632,434.1,-90
2025-11-23T16:15:42.103772,434.2,-92
2025-11-23T16:15:42.108691,434.3,-89
2025-11-23T16:15:42.113649,434.4,-90
2025-11-23T16:15:42.118603,434.5,-88
2025-11-23T16:15:42.123635,434.6,-90
2025-11-23T16:15:42.128632,434.7,-92
2025-11-23T16:15:42.133612,434.8,-90
2025-11-23T16:15:42.138631,434.9,-89
2025-11-23T16:15:42.143608,435.0,-90
2025-11-23T16:15:42.148591,435.1,-90
2025-11-23T16:15:42.153644,435.2,-89
2025-11-23T16:15:42.158601,435.3,-87
2025-11-23T16:15:42.163645,435.4,-89
2025-11-23T16:15:42.168606,435.5,-87
2025-11-23T16:15:42.173597,435.6,-87
2025-11-23T16:15:42.178604,435.7,-90
2025-11-23T16:15:42.183590,435.8,-89
2025-11-23T16:15:42.188648,435.9,-87
2025-11-23T16:15:42.193622,436.0,-89
2025-11-23T16:15:42.198589,436.1,-88
2025-11-23T16:15:42.203657,436.2,-92
2025-11-23T16:15:42.208590,436.3,-90
2025-11-23T16:15:42.213594,436.4,-88
2025-11-23T16:15:42.218608,436.5,-89
2025-11-23T16:15:42.223614,436.6,-89
2025-11-23T16:15:42.228607,436.7,-87
2025-11-23T16:15:42.233586,436.8,-88
2025-11-23T16:15:42.238643,436.9,-86
2025-11-23T16:15:42.243583,437.0,-90
2025-11-23T16:15:42.248592,437.1,-90
2025-11-23T16:15:42.253646,437.2,-91
2025-11-23T16:15:42.258606,437.3,-88
2025-11-23T16:15:42.263599,437.4,-89
2025-11-23T16:15:42.268599,437.5,-91
2025-11-23T16:15:42.273604,437.6,-88
2025-11-23T16:15:42.278609,437.7,-89
